timestamp,acc_x,acc_y,acc_z,accz_vert,accz_vert_lpf2,accz_vert_hpf0p1,takeoff,landing
2025-10-16T19:22:27.800361,-582,-169,786,10.229817058987575,2.0546448710072474,10.10286076633257,0,0
2025-10-16T19:22:28.014131,-605,-178,739,9.700021305383231,7.523881281294684,8.504373873369838,0,0
2025-10-16T19:22:28.231011,-642,-304,671,9.875791354635183,9.206355953045172,7.711134218192989,0,0
2025-10-16T19:22:28.449308,-651,-406,715,9.711410720847121,9.567654569138382,6.704270150326985,0,0
2025-10-16T19:22:28.649691,-594,-417,478,9.607585477148527,9.596219752011912,5.863602842131988,0,0
2025-10-16T19:22:28.879631,-704,-473,601,9.624587885584736,9.616513328183096,5.224122638469482,0,0
2025-10-16T19:22:29.097422,-661,-467,536,9.593469995810484,9.600028929604633,4.6132825641913335,0,0
2025-10-16T19:22:29.350546,-624,-489,595,9.65489879185069,9.639280920791654,4.152848967873913,0,0
2025-10-16T19:22:29.580051,-722,-459,545,9.573270454927863,9.592059329224364,3.616729053918484,0,0
2025-10-16T19:22:29.800486,-735,-437,474,9.529700343273813,9.547449879395856,3.174268587290345,0,0
2025-10-16T19:22:30.052672,-723,-467,514,9.541454497882677,9.543160991968678,2.8303504186114297,0,0
2025-10-16T19:22:30.279685,-767,-439,498,9.525574641088348,9.530580328166916,2.500276544812115,0,0
2025-10-16T19:22:30.529697,-749,-479,492,9.513162025560318,9.518119880255801,2.2101307128460697,0,0
2025-10-16T19:22:30.747891,-745,-364,300,9.491842224526605,9.49932175923132,1.9444625422907156,0,0
2025-10-16T19:22:30.964491,-1362,-475,1395,9.562400558578977,9.544446138530452,1.7900735942232173,0,0
2025-10-16T19:22:31.197979,419,0,-259,9.877448623530965,9.782664535140984,1.8701159570891168,0,0
2025-10-16T19:22:31.414060,44,-26,-118,9.778112484592437,9.779408156489746,1.57309843826901,1,0
2025-10-16T19:22:31.631485,75,-31,-26,9.81472784888918,9.804674636084208,1.430013061432413,0,0
2025-10-16T19:22:31.847235,211,2,-233,9.819881407369083,9.815553031400388,1.2749514904669434,0,0
2025-10-16T19:22:32.066777,-1102,-985,-89,9.001774941670826,9.23340448757838,0.40584503371241337,0,1
2025-10-16T19:22:32.296531,-276,-725,723,9.63200173374377,9.518547095071975,0.9204097281725763,0,0
2025-10-16T19:22:32.530842,-834,-610,845,9.506243705989982,9.509745678409924,0.7059405896110686,0,0
2025-10-16T19:22:32.747469,-792,-420,485,9.493613484798274,9.498205268145503,0.6159125186638301,0,0
2025-10-16T19:22:32.948174,-890,-311,363,9.465322010105764,9.474681728957664,0.522021844325468,0,0
2025-10-16T19:22:33.531783,-801,159,732,9.779208919745358,9.692529890401993,0.7425919032503946,0,0
2025-10-16T19:22:33.765137,-830,-17,484,9.633274041158929,9.650140316653147,0.5300490914005314,0,0
2025-10-16T19:22:33.980794,-980,203,520,9.672586909413532,9.66619782846643,0.5058011167524538,0,0
2025-10-16T19:22:34.213216,-711,332,602,9.843230326977503,9.792840721065863,0.6009295055215501,0,0
