timestamp,gyro_x,gyro_y,gyro_z
2025-10-16T19:22:27.800361,-1,1,0
2025-10-16T19:22:28.014131,-10,26,14
2025-10-16T19:22:28.231011,-11,12,-1
2025-10-16T19:22:28.449308,-17,5,1
2025-10-16T19:22:28.649691,-14,22,-3
2025-10-16T19:22:28.879631,4,-8,-3
2025-10-16T19:22:29.097422,10,3,-2
2025-10-16T19:22:29.350546,-24,18,13
2025-10-16T19:22:29.580051,-1,-4,3
2025-10-16T19:22:29.800486,0,3,0
2025-10-16T19:22:30.052672,-1,0,-2
2025-10-16T19:22:30.279685,-7,14,0
2025-10-16T19:22:30.529697,-3,0,0
2025-10-16T19:22:30.747891,-8,-191,-149
2025-10-16T19:22:30.964491,37,-15,63
2025-10-16T19:22:31.197979,411,197,212
2025-10-16T19:22:31.414060,312,469,-199
2025-10-16T19:22:31.631485,28,441,-383
2025-10-16T19:22:31.847235,-398,515,-268
2025-10-16T19:22:32.066777,10,-97,105
2025-10-16T19:22:32.296531,96,-106,85
2025-10-16T19:22:32.530842,102,66,57
2025-10-16T19:22:32.747469,-67,-61,-11
2025-10-16T19:22:32.948174,164,-20,-8
2025-10-16T19:22:33.531783,22,87,-77
2025-10-16T19:22:33.765137,-153,-67,176
2025-10-16T19:22:33.980794,77,-33,-23
2025-10-16T19:22:34.213216,-2,-3,3
2025-10-16T19:22:34.431789,13,-1,-19
2025-10-16T19:22:34.663327,0,-3,1
2025-10-16T19:22:34.883339,4,0,0
2025-10-16T19:22:35.083667,4,11,-6
2025-10-16T19:22:35.313929,54,47,-98
2025-10-16T19:22:35.515169,86,242,84
2025-10-16T19:22:35.747016,-552,644,-903
2025-10-16T19:22:35.949624,610,408,589
2025-10-16T19:22:36.177075,-775,975,359
2025-10-16T19:22:36.379039,179,1999,-700
2025-10-16T19:22:36.598474,-357,1999,-975
2025-10-16T19:22:36.814837,-1442,1157,-460
2025-10-16T19:22:37.047544,-795,1555,1150
2025-10-16T19:22:37.247937,-497,1501,1637
2025-10-16T19:22:37.480658,358,1571,1163
2025-10-16T19:22:37.697979,180,861,423
2025-10-16T19:22:37.931610,111,-1569,-476
2025-10-16T19:22:38.147717,-423,564,191
2025-10-16T19:22:38.380939,177,-119,-111
2025-10-16T19:22:38.597834,-41,-314,107
2025-10-16T19:22:38.831160,25,-43,194
2025-10-16T19:22:39.063717,-350,-419,-117
2025-10-16T19:22:39.297557,-98,-135,156
2025-10-16T19:22:39.546572,179,352,130
2025-10-16T19:22:39.764992,253,315,48
2025-10-16T19:22:39.998065,306,453,-100
2025-10-16T19:22:40.214404,61,216,-283
2025-10-16T19:22:40.447178,-228,386,-564
2025-10-16T19:22:40.663937,36,167,-156
2025-10-16T19:22:40.898078,166,-113,68
2025-10-16T19:22:41.114806,-337,-605,-65
2025-10-16T19:22:41.631165,-44,-336,-168
2025-10-16T19:22:41.864750,276,-287,-131
2025-10-16T19:22:42.092830,-18,-147,-281
2025-10-16T19:22:42.333362,-514,-875,-170
2025-10-16T19:22:42.542366,-173,-141,-11
2025-10-16T19:22:42.764272,138,8,58
2025-10-16T19:22:42.981861,135,1390,-3
2025-10-16T19:22:43.214984,41,343,-53
2025-10-16T19:22:43.431914,-46,517,-45
2025-10-16T19:22:43.937400,832,1670,-1056
2025-10-16T19:22:44.148457,-421,-634,1400
2025-10-16T19:22:44.410952,-775,268,315
2025-10-16T19:22:44.631441,-220,-1585,-1955
2025-10-16T19:22:44.832303,-90,-107,-275
2025-10-16T19:22:45.347277,-16,-5,162
2025-10-16T19:22:45.582127,-108,-55,265
2025-10-16T19:22:45.799799,-180,138,192
2025-10-16T19:22:46.031427,151,-118,-310
2025-10-16T19:22:46.247676,81,156,209
2025-10-16T19:22:46.764989,-1962,201,-516
2025-10-16T19:22:46.965867,-1776,885,-765
2025-10-16T19:22:47.213559,-737,1140,1157
2025-10-16T19:22:47.447344,18,1731,1046
2025-10-16T19:22:47.664700,767,1655,70
2025-10-16T19:22:47.881940,518,1900,-337
2025-10-16T19:22:48.098938,148,1909,-579
2025-10-16T19:22:48.315112,-599,1856,-663
2025-10-16T19:22:48.516715,-540,1642,-627
2025-10-16T19:22:48.747067,-695,1947,-167
2025-10-16T19:22:48.965107,-330,1176,-152
2025-10-16T19:22:49.166899,-57,1088,-362
2025-10-16T19:22:49.398599,147,-99,-364
2025-10-16T19:22:49.630593,285,94,32
2025-10-16T19:22:49.849309,-70,50,-17
2025-10-16T19:22:50.064815,427,-497,1130
2025-10-16T19:22:50.298356,68,-109,-18
